trade_no,start_date,cusip,type,quantity,rate
3490345,2025-04-29 11:39:04,91282CKH3,REP,5000000,4.280000
3490376,2025-04-29 11:55:46,912797PT8,REV,25000000,4.000000
3490377,2025-04-29 11:55:49,91282CFW6,REV,26000000,4.240000
3490379,2025-04-29 12:00:34,912810EX2,REP,25000000,4.370000
3490380,2025-04-29 12:00:42,912797QG5,REP,25000000,4.370000
3490381,2025-04-29 12:04:01,912797PS0,REP,50000000,4.340000
3490382,2025-04-29 12:17:20,912797QC4,REV,25000000,3.950000
3490474,2025-04-29 12:43:50,912797NW3,REP,25000000,4.340000
3491123,2025-04-29 15:22:57,912797NX1,REP,5000000,4.280000
3491124,2025-04-29 15:23:00,912797PZ4,REP,5000000,4.250000
3491127,2025-04-29 15:25:10,91282CKL4,REV,25000000,4.410000
3491136,2025-04-29 15:26:28,912797PS0,REP,5000000,4.250000
3491137,2025-04-29 15:27:24,912797QD2,REP,25000000,4.390000
3491138,2025-04-29 15:27:24,912797QD2,REP,50000000,4.390000
3491139,2025-04-29 15:27:42,91282CLB5,REP,25000000,4.420000
3491172,2025-04-29 15:33:47,912797QK6,REP,50000000,4.400000
3491173,2025-04-29 15:33:47,912797QK6,REP,50000000,4.400000
3491174,2025-04-29 15:34:33,91282CAJ0,REV,50000000,4.340000
3491175,2025-04-29 15:34:33,91282CAJ0,REV,50000000,4.340000
3491176,2025-04-29 15:34:33,91282CAJ0,REV,50000000,4.340000
3491177,2025-04-29 15:34:45,91282CHV6,REV,50000000,4.340000
3491178,2025-04-29 15:34:45,91282CHV6,REV,50000000,4.340000
3491179,2025-04-29 15:34:45,91282CHV6,REV,50000000,4.340000
3491181,2025-04-29 15:35:22,91282CHN4,REV,25000000,4.380000
3491267,2025-04-29 07:00:01,912797PC5,REP,10000000,4.300000
3491268,2025-04-29 07:00:01,912810UE6,REV,20000000,4.360000
3491269,2025-04-29 07:00:01,912810UE6,REV,50000000,4.360000
3491270,2025-04-29 07:00:02,912797QF7,REP,10000000,4.250000
3491271,2025-04-29 07:00:01,912797PL5,REP,12000000,4.320000
3491272,2025-04-29 07:00:02,912797QK6,REP,12000000,4.340000
3491273,2025-04-29 07:00:01,912797PS0,REP,10000000,4.330000
3491275,2025-04-29 07:00:18,912797PH4,REP,10000000,4.310000
3491276,2025-04-29 07:00:20,91282CGE5,REV,25000000,3.990000
3491278,2025-04-29 07:00:20,91282CAM3,REV,50000000,4.330000
3491279,2025-04-29 07:00:20,912797LN5,REV,25000000,4.360000
3491285,2025-04-29 07:00:20,912810FG8,REV,25000000,4.300000
3491286,2025-04-29 07:00:18,912797QK6,REV,50000000,4.390000
3491287,2025-04-29 07:00:20,912810FG8,REV,25000000,4.300000
3491288,2025-04-29 07:00:20,912797MH7,REV,25000000,4.280000
3491290,2025-04-29 07:00:20,9128285T3,REV,50000000,4.330000
3491298,2025-04-29 07:00:36,912797NL7,REV,25000000,4.210000
3491299,2025-04-29 07:00:18,912797PS0,REV,50000000,4.360000
3491300,2025-04-29 07:00:36,912797NU7,REV,25000000,4.270000
3491301,2025-04-29 07:00:36,912797QJ9,REP,25000000,4.300000
3491305,2025-04-29 07:00:38,912797LN5,REV,25000000,4.360000
3491306,2025-04-29 07:00:18,912797PS0,REV,50000000,4.360000
3491307,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491308,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491309,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491310,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491311,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491312,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491313,2025-04-29 07:00:40,91282CEF4,REV,50000000,4.380000
3491323,2025-04-29 07:00:19,912797PL5,REV,50000000,4.370000
3491324,2025-04-29 07:00:19,912797PL5,REV,50000000,4.370000
3491325,2025-04-29 07:00:19,912797PL5,REV,25000000,4.370000
3491328,2025-04-29 07:00:18,9128285T3,REP,25000000,4.310000
3491329,2025-04-29 07:00:19,912810FG8,REP,50000000,4.270000
3491336,2025-04-29 07:00:21,912797QF7,REV,25000000,4.420000
3491337,2025-04-29 07:00:21,912797QF7,REV,25000000,4.420000
3491338,2025-04-29 07:00:30,912797NW3,REP,10000000,4.340000
3491339,2025-04-29 07:00:36,912797NU7,REP,25000000,4.240000
3491341,2025-04-29 07:00:36,912797QJ9,REV,25000000,4.320000
3491342,2025-04-29 07:00:36,912797PH4,REV,25000000,4.340000
3491345,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491346,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491347,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491348,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491349,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491350,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491351,2025-04-29 07:00:38,91282CEF4,REP,50000000,4.360000
3491352,2025-04-29 07:00:39,912797QF7,REP,10000000,4.410000
