order_id,order_timestamp,order_cusip,order_direction,order_size,order_price,order_source,apex_trade_no,apex_timestamp,apex_cusip,apex_type,apex_quantity,apex_rate,apex_shortcode
,2025-04-25 07:01:22.990,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:23.989,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:23.989,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:24.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:24.988,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:25.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:25.989,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:26.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:26.988,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:27.986,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:27.987,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:28.989,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:28.989,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:29.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:29.988,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:30.867,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:30.867,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:30.986,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:30.987,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:31.991,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:31.993,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:32.987,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:32.987,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:02:13.940,91282CGZ8,Buy,25.000000,4.390000,BTEC_REPO_US,3488272,2025-04-29 07:02:31,91282CGZ8,REV,25000000,4.390000,BTEC
,2025-04-25 07:02:13.940,91282CGZ8,Sell,25.000000,4.370000,DEALERWEB_REPO,3488271,2025-04-29 07:02:31,91282CGZ8,REP,25000000,4.370000,DEAL
,2025-04-25 07:02:45.261,91282CLU3,Buy,25.000000,4.370000,BTEC_REPO_US,3488279,2025-04-29 07:03:03,91282CLU3,REV,25000000,4.370000,BTEC
,2025-04-25 07:02:45.261,91282CLU3,Sell,25.000000,4.350000,DEALERWEB_REPO,3488278,2025-04-29 07:03:03,91282CLU3,REP,25000000,4.350000,DEAL
,2025-04-25 07:02:54.006,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:54.006,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:02:54.987,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:54.987,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:02:55.988,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:55.988,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:02:56.987,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:56.987,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:02:57.988,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:57.989,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:02:58.987,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:58.987,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:02:59.987,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:02:59.987,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:03:00.987,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:03:00.987,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:03:01.988,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:03:01.989,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:03:02.680,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:03:02.680,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:03:02.988,91282CMT5,Buy,50.000000,4.390000,BTEC_REPO_US,3488292,2025-04-29 07:03:12,91282CMT5,REV,50000000,4.390000,BTEC
,2025-04-25 07:03:02.988,91282CMT5,Sell,50.000000,4.370000,DEALERWEB_REPO,3488281,2025-04-29 07:03:13,91282CMT5,REP,50000000,4.370000,DEAL
,2025-04-25 07:10:10.754,912828Y79,Buy,25.000000,4.350000,BTEC_REPO_US,3488462,2025-04-29 07:10:28,912828Y79,REV,25000000,4.350000,BTEC
,2025-04-25 07:10:10.754,912828Y79,Sell,25.000000,4.330000,DEALERWEB_REPO,3488461,2025-04-29 07:10:28,912828Y79,REP,25000000,4.330000,DEAL
